layer,point,len,cpu_min,cpu_max,cpu_mean,cpu_absmax,cpu_checksum,cpu_hash,fpga_min,fpga_max,fpga_mean,fpga_absmax,fpga_checksum,fpga_hash,checksum_abs_diff,mean_abs_diff,absmax_abs_diff,hash_match,large_divergence
3,after_post_attention_rmsnorm,576,-0.237475708,1.20577168,0.00216546026,1.20577168,1.24730511,704e5985661722fb,-8.80877342e-05,1.15188122,0.0549244919,1.15188122,31.6365073,c63239ccfd27ef4c,30.389202190000002,0.052759031639999995,0.053890460000000084,no,yes
3,gate_proj_output,1536,-0.866625071,1.35614526,-0.125418354,1.35614526,-192.642592,71611d06f64fb73e,-3.28515625,8388608.0,81919.8954,8388608.0,125828959.0,3ffbaa59ed3430fd,125829151.642592,81920.020818354,8388606.64385474,no,yes
3,up_proj_output,1536,-0.858839512,1.10462475,0.00229750189,1.10462475,3.52896291,591dc158ee2eb308,-3.14453125,8388608.0,131071.998,8388608.0,201326589.0,73ad31e777c0fe15,201326585.4710371,131071.99570249811,8388606.89537525,no,yes
3,silu_swiglu_output,1536,-0.169754058,0.560690403,-0.000216740889,0.560690403,-0.332914005,66cb7d84cde52132,-9601024.0,11597344.0,40933.7013,11597344.0,62874165.2,992ece0894025ecc,62874165.532914005,40933.70151674089,11597343.439309597,no,yes
3,down_proj_output,576,-1.55970025,0.924284458,-0.0144786629,1.55970025,-8.33970981,04573097ced8ec32,-560.527344,8388608.0,131066.681,8388608.0,75494408.5,61fa17522263469a,75494416.8397098,131066.69547866289,8388606.44029975,no,yes
3,residual_after_mlp,576,-147.986023,804.455017,0.757787685,804.455017,436.485707,88afc44537fe7478,-1474.52234,8389236.0,771881.104,8389236.0,444603516.0,e36a61179ef8f119,444603079.514293,771880.346212315,8388431.544983,no,yes
4,after_input_rmsnorm,576,-2.08008337,3.45539761,0.00204129581,3.45539761,1.17578638,5fa85dfa4cdd7051,-0.000123745034,1.53243577,0.0842363516,1.53243577,48.5201385,5d3a3b5b1ce3720d,47.34435212,0.08219505579,1.92296184,no,yes
4,q_proj_output,576,-5.28775978,4.81208372,-0.0236069921,5.28775978,-13.5976274,89fde917bfe4cfde,-4.48828125,8388608.0,131072.067,8388608.0,75497510.5,6d281ed0d75d22a3,75497524.0976274,131072.0906069921,8388602.71224022,no,yes
4,k_proj_output,192,-4.99051237,5.36946964,-0.0851084321,5.36946964,-16.340819,083d3516b06f4339,-5.77734375,8388608.0,87381.3009,8388608.0,16777209.8,483d2f0cbb69066a,16777226.140819002,87381.3860084321,8388602.63053036,no,yes
4,v_proj_output,192,-0.227808654,0.397887141,-0.00378192743,0.397887141,-0.726130066,3804f90bbbf7f8a7,-2.73828125,8388608.0,131071.986,8388608.0,25165821.3,8dccc1217283f1b2,25165822.026130065,131071.98978192743,8388607.602112859,no,yes
4,attention_output,576,-0.227808654,0.397887141,-0.00378192743,0.397887141,-2.1783902,69c366ff76cdbd77,-2.73828125,8388608.0,131071.986,8388608.0,75497463.9,f5fe53e2e4cfb28a,75497466.07839021,131071.98978192743,8388607.602112859,no,yes
4,o_proj_output,576,-1.69669795,1.10504675,0.00308155605,1.69669795,1.77497628,6312c6a78937ebeb,-230.78125,8388608.0,58249.8722,8388608.0,33551926.4,58cf6931b9bb25c7,33551924.62502372,58249.869118443945,8388606.30330205,no,yes
4,residual_after_attention,576,-146.880981,802.758301,0.760869213,802.758301,438.260667,9b20061d3216bffa,-1398.46375,8389222.0,830130.971,8389222.0,478155439.0,082e10d11fea6a48,478155000.739333,830130.210130787,8388419.241699,no,yes
